index,text
23,"i7 M70 Sedan Instrumentation and Controls: Dynamic Cruise ControlFull-color Head-up DisplayExpanded Check Control vehicle monitor systemGlass ControlsMy Modes offers multiple vehicle experiences including Sport, Efficient, and Personal to tailor the driving experienceTire Pressure Monitor3-spoke power telescopic, leather-wrapped, multi-function M sport steering wheelBMW Curved Display with configurable 12.3"" instrument cluster and 14.9"" central information displayiDrive 8 operating system operated by voice, touchscreen or iDrive touchpad controllerCloud-based navigation system and multiple Over-the-Air (OTA) updates for map data"
24,"i7 M70 Sedan Comfort and Convenience: Engine Start/Stop buttonAdvanced Vehicle & Key Memory  includes most recently used climate-control temperature and air-distribution settings; exterior mirror and power seat settings; audio tone settings and radio presets; central-locking preferences; and lighting preferencesComfort Access keyless entrySoft-close automatic door operationNano Particle Filtration SystemRain-sensing windshield wipers with adjustable speed and automatic headlight controlPower rear sunshade & rear side window shadesPower windows with key-off and ""one touch"" up and down operation both front and rear, anti-trapping feature, opening from remote, and closing from exterior lockPower Multi-function front seats including power adjustment functions for shoulder support and thigh support, plus 2-way manual lateral adjustment for Comfort headrest, and memory system for front passenger seatPower tailgateAutomatic 4-zone climate controlAutomatic tilt-down of passenger's side-view mirror (when car is shifted into reverse gear)Automatic-dimming interior rear-view mirror and driver's-side exterior mirrorDual front sun visors with illuminated mirrorsMultifunction Rear SeatsFront ventilated seatsFold-up rear-seat center armrestPanoramic Sky Lounge LED RoofMulti-color, adjustable ambient lightingLED Light CarpetGround-illuminating lights in exterior door handlesInterior courtesy lights with automatic-dimming functionDual illuminated vanity mirrors integrated into rear-cabin headlinerFront map lights and rear reading lights with separate controls for the left and rightOpen storage compartments in all doors and front-seatback storageFully finished trunk with interior and remote trunk releaseLocking gloveboxUniversal garage-door openerWireless chargingPower outlets under center consol, back of center console, and in trunkTravel and Comfort System includes a multi-function bracket to support BMW accessories such as tablet holders, coat hangers, and folding table, as well as a USB-C port with 3 amp charging ability in the backrest of each front seatDual cupholders in front and rearIconic Sounds ElectricThrough-loading systemHeated Steering Wheel, Front and Rear Heated Seats, Heated Armrests and radiant heat in door and instrument panelsFront massaging seatsRear ventilated seats"
25,"i7 M70 Sedan Safety and Security: Adaptive Full LED HeadlightsAutomatic high beamsAdaptive BrakelightsActive Protection System  detects imminent accidents, then prepares by automatically pretensioning safety belts, closing windows and moonroof, and activating post-crash braking; includes Fatigue and Focus Alert featureFront and rear Head Protection System (HPS)Active Front HeadrestsDriver's and passenger's front airbag supplemental restraint system (SRS) with advanced technology: dual-threshold, dual-stage deployment; and front-passenger-seat sensors designed to prevent unnecessary airbag deployment3-point safety belts with force limiters and head restraints at all seating positionsSeat-mounted front side-impact airbagsAcoustic safety-belt warningFront safety belts with automatic pretensionersLATCH attachments for child-restraint safety installationAutomatic-locking retractors (ALR) on all passenger-seat safety belts (for installation of child-restraint seats)Impact sensor that activates Battery Safety Terminal disconnect of alternator, fuel pump and starter from battery; automatically unlocks doors; and turns on hazard and interior lightsActive Driving Assistant includes Frontal Collision Warning, Active Blind Spot Detection, Lane Departure Warning, and Speed Limit InfoAnti-theft alarm systemLED Daytime Running LightsBMW Assist eCall™ includes Emergency Request (SOS button) and Enhanced Automatic Collision NotificationCoded Driveaway ProtectionPathway Lighting feature, programmable via Advanced Vehicle & Key MemoryRear-view cameraInterior CameraActive Park Distance ControlParking Assistant and Back-up AssistantAcoustic pedestrian protectionMobility kit"
26,"i7 M70 Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000 mile High-Voltage Battery Warranty"
27,"i7 M70 Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000 mile High-Voltage Battery Warranty"
28,"i7 M70 Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000 mile High-Voltage Battery Warranty"
29,"i7 M70 Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000 mile High-Voltage Battery Warranty"
30,"i7 M70 Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000 mile High-Voltage Battery Warranty"
31,"i7 M70 Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000 mile High-Voltage Battery Warranty"
32,"i7 M70 Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000 mile High-Voltage Battery Warranty"
33,"i7 M70 Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000 mile High-Voltage Battery Warranty"
34,i5 M60 All-Electric Sedan Performance and Efficiency: Dual all-electric motors with a total power output of 593 hp and 586 lb ft of torqueBrake Energy Recuperation system84.3 kWh high-voltage lithium-ion battery pack with advanced active thermal management systemFlexible Fast Charging Cable with 110V/220V capabilityJ1772 AC Fast charging capability (11 kW)DC Fast charging capability (SAE Combo connector)
35,"i5 M60 All-Electric Sedan Handling, Ride and Braking: Variable Sport SteeringAdaptive Suspension with electronically controlled damperM Sport Brakes with Blue CalipersDynamic Stability Control (DSC), including Brake Fade Compensation, Start-off Assistant, Brake Drying, and Brake Stand-by features; with Dynamic Traction Control (DTC)4-wheel disc brakes with Anti-lock Braking System (ABS), Dynamic Brake Control (DBC) and Cornering Brake Control (CBC)Multi-link rear suspensionElectric Power SteeringxDrive all-wheel drive"
36,"i5 M60 All-Electric Sedan Exterior: 19"" M Aerodynamic Light Alloy Wheels, Style 936M with Mixed Performance Non Run-flat TiresNon-metallic paintAerodynamic KitShadowline exterior trimPower-folding, heated side mirrors"
37,i5 M60 All-Electric Sedan Interior Trim: Anthracite HeadlinerM Alcantara/Veganza UpholsteryFine Wood Dark Oak High Gloss Trim with Dark Silver Accent
38,"i5 M60 All-Electric Sedan Connectivity: Enhanced USB and Bluetooth® wireless technology plus Smartphone IntegrationBMW ConnectedDrive® ServicesWireless Device ChargingBMW TeleServicesApple CarPlay® and Android Auto™ CompatibilityRemote Software Upgrade capablePersonal eSIM 5GConnected Package Professional features Real-Time Traffic Information and On-Street Parking Information (select cities), Hazard Preview, BMW Remote Services including Stolen Vehicle Recovery, Remote Door Unlock and My BMW App. The Intelligent Personal Assistant voice control offers natural speech input for various functions, including navigation"
39,i5 M60 All-Electric Sedan Audio System: SiriusXM® with 360L + 1 year Platinum Plan SubscriptionBowers & Wilkins Surround Sound System
40,"i5 M60 All-Electric Sedan Instrumentation and Controls: BMW Curved Display with configurable 12.3"" instrument cluster and 14.9"" central information displayiDrive 8.5 operating system operated by voice, touchscreen or iDrive touchpad controllerCloud-based navigation system and multiple Over-the-Air (OTA) updates for map data3-spoke leather-wrapped, multi-function M sport steering wheelDynamic Cruise ControlTire Pressure MonitorRear-window defrosterBMW eDrive Services including range and charging status display, charging station search, charging timer and cabin preconditioning"
41,"i5 M60 All-Electric Sedan Comfort and Convenience: Universal garage-door openerInterior courtesy lights with automatic-dimming functionDual front sun visors with illuminated mirrorsFront-seat center console with armrest and storage compartmentFully finished trunk with remote trunk releaseFront and rear USB ports40/20/40 split fold-down through-load rear seats2-way power glass moonroof with ""one-touch"" operation and sliding interior sunshadeAutomatic-dimming interior rear-view mirror and driver's-side exterior mirrorRain-sensing windshield wipers with automatic headlight controlClimate Control including micro-filter and automatic air recirculationComfort Access keyless entryInteraction Bar with Ambient LightingIconic Sounds ElectricPower tailgateTravel and Comfort System includes a multi-function bracket to support BMW accessoriesPower Multi-contour front seats including power backrest width adjustment and thigh support, as well as power head restraint height3-stage heated front seats4-way power lumbar support for front seats"
42,"i5 M60 All-Electric Sedan Safety and Security: Active Driving Assistant includes Frontal Collision Warning, Active Blind Spot Detection, Lane Departure WarningAnti-theft alarm systemBMW Assist eCall™ includes Emergency Request and Enhanced Automatic Collision NotificationLED Daytime Running LightsRear-view CameraMobility kitPark Distance Control, front and rearAcoustic pedestrian protectionAcoustic safety-belt warningParking Assistant and Back-up AssistantFront and rear Head Protection System (HPS)Driver's and passenger's front airbag supplemental restraint system (SRS) with advanced technology: dual-threshold, dual-stage deployment3-point Safety Belts with force limiters and head restraints at all seating positionsSeat-mounted front side-impact airbagsFront safety belts with automatic pretensionersLATCH attachments for child-restraint safety installationAutomatic-locking retractors (ALR) on all passenger-seat safety belts (for installation of child-restraint seats)Impact sensor that activates Battery Safety Terminal disconnect of alternator, fuel pump and starter from battery; automatically unlocks doors, and turns on hazard and interior lightsCentral locking system on drier and front passenger doors"
43,"i5 M60 All-Electric Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
44,"i5 M60 All-Electric Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
45,"i5 M60 All-Electric Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
46,"i5 M60 All-Electric Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
47,"i5 M60 All-Electric Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
48,"i5 M60 All-Electric Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
49,"i5 M60 All-Electric Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
50,"i5 M60 All-Electric Sedan Warranty: BMW Ultimate Care (for complete details, visit click here)4-year/50,000-mile New Vehicle Limited Warranty for Passenger Cars and Light Trucks  2024 Models (valid only in the USA including Puerto Rico)12-year Unlimited Mileage Rust Perforation Limited Warranty4-year Unlimited Mileage Roadside Assistance Program8-year/100,000-mile High-Voltage Battery Warranty"
