,text,embeddings,distances
196,"Erdik, M., Tümsa, M. B. D., Pınar, A., Altunel, E., and Zülfikar, A. C. 2023, A preliminary report on the February 6, 2023, Earthquake in Türkiye, doi:10.32858/temblor.297","[-0.00673329 -0.04049864 -0.017059   ...  0.00934026  0.0180741
 -0.0289502 ]",0.13155767366011273
37,"By 23 February 2023, the Ministry of Environment, Urbanization and Climate Change conducted damage inspections for 1.25 million buildings; revealing 164,000 buildings were either destroyed or severely damaged. Another inspection carried out in March revealed that 1,411,304 housing units sustained light to moderate damage. Over 150,000 commercial infrastructure were at least moderately damaged. The International Organization for Migration estimated over 2.7 million people were made homeless. A damage assessment by the Turkish government revealed at least 61,722 buildings had to be demolished including 11,900 in Gaziantep Province, 10,900 in Hatay Province, 10,800 in Kahramanmaraş Province and 36,046 in Malatya Province. Broad fissures appeared on roads. During recovery efforts, body parts were often found in the rubble.","[ 0.00144082 -0.00841055 -0.00458635 ... -0.002278   -0.01868261
 -0.02983822]",0.13406977520223184
1,"The Mw 7.8 earthquake is the largest in Turkey since the 1939 Erzincan earthquake of the same magnitude, and jointly the second-largest in the country, after larger estimates for the 1668 North Anatolia earthquake. It is also one of the strongest earthquakes ever recorded in the Levant. It was felt as far as Egypt and the Black Sea coast of Turkey. There were more than 30,000 aftershocks in the three months that followed. The seismic sequence was the result of shallow strike-slip faulting along segments of the Dead Sea Transform, East Anatolian and Sürgü–Çardak faults.","[ 0.00019082 -0.02229552 -0.00378932 ...  0.01213371 -0.00087338
 -0.03344328]",0.1343827931795647
181,"Earthquake Department, ed. (9 February 2023). 06 Şubat 2023 Pazarcik (Kahramanmaraş) Mw 7.7 Elbistan (Kahramanmaraş) Mw 7.6 Depremlerine İlişkin Ön Değerlendirme Raporu [Preliminary Evaluation Report on the 06 February 2023 Pazarcik (Kahramanmaraş) Mw 7.7 and Elbistan (Kahramanmaraş) Mw 7.6 Earthquakes] (PDF) (Report) (in Turkish). AFAD.","[-0.01110814 -0.02136386 -0.00936334 ...  0.01594298  0.01096163
 -0.01070191]",0.13666003430202134
14,"A reevaluation of the earthquakes using long-period coda moment magnitude obtained Mw  7.95 ± 0.013 and Mw  7.86 ± 0.012, respectively. These earthquakes were some of the largest Turkish earthquakes in over 2,000 years.","[ 0.01097564 -0.01832134  0.01290941 ...  0.01539098  0.0066428
 -0.03365952]",0.13785009317613284
187,"Utkucu, Murat; Uzunca, Fatih; Durmuş, Hatice; Nalbant, Suleyman (22 February 2023). The 2023 Pazarcik (Mw=7.8) and Elbi̇stan (Mw=7.6), Kahramanmaraş earthquakes in the southeast Türki̇ye (PDF) (Report). Sakarya University. Retrieved 1 March 2023.","[-0.00889384 -0.02889298  0.00233985 ...  0.01105054  0.014022
 -0.00864051]",0.13938654065795253
112,"On 17 February, a Syrian family of seven, including five children, were killed during a fire that struck a home in Nurdağı, Turkey, in which they moved to after surviving the earthquake. Seven other people were injured during the fire. A natural gas explosion at a building in Şanlıurfa on 20 February killed two, left five injured and damaged businesses. Şanlıurfa's governor, Salih Ayhan, said due to the earthquakes, gas supply to the city was cut and an investigation was ongoing. A bus ferrying earthquake survivors from Hatay to Konya collided with a truck on the Tarsus-Adana-Gaziantep Motorway on 23 February, killing two and injuring six.","[-0.00437179  0.00268315 -0.01080728 ...  0.00051423 -0.00257963
 -0.02196756]",0.13979477121704853
20,"Preliminary analysis of the effects of stress changes caused by the M7.8 earthquake on the Çardak–Sürgü Fault, based on the USGS fault model, indicated up to 3 bars of added stress near the epicenter of the M7.7 shock, sufficient to trigger rupture on that zone, assuming that it was already close to failure. Stress on the Hatay Fault, source of the 20 February Mw  6.4 aftershock, increased by 1 bar following the 6 February earthquakes.","[-0.01355703 -0.01390854  0.00849124 ...  0.02336469 -0.00696805
 -0.01752007]",0.14004250915436456
83,"On 20 February, a Mww 6.3 aftershock struck near Antakya, causing additional buildings to collapse in Samandağ and further damage in Antakya. Six people died in Antakya, Defne and Samandağ. At least 562 were injured including 18 in serious condition who received immediate medical attention before being taken to Adana and Dörtyol. AFAD warned residents to stay away from the coast as there was potential for a tsunami of up to 50 cm (20 in). The mayor of Hatay said several people were trapped under debris. A bridge was damaged and an empty three-story building in İskenderun collapsed. In Syria, five people died during stampedes and panic across several governates and at least 500 people were injured. The White Helmets said people in Aleppo and Idlib were injured by collapsed buildings. Some residents in Jinderis were injured after leaping off buildings. In northwestern Syria, damaged and abandoned buildings collapsed without casualties. Shaking was felt in Lebanon, Egypt and Jordan.","[-7.60750705e-03  5.96489881e-05 -1.27205234e-02 ... -9.99863446e-03
 -5.29217906e-03 -1.79024488e-02]",0.1402452978894556
90,"In Syria, the World Bank estimated $5.1 billion in damages, excluding economic impact and losses. Nearly half the cost was direct damage to residential buildings and 18 percent on infrastructure. Aleppo Governate, the worst-affected governate, accounted for 45 percent of the damage cost (equivalent to about $2.3 billion), followed by Idlib and Lattakia governates. The amount of destroyed or damaged capital stock was about 10 percent of Syria's GDP. The World Bank estimated the reconstruction cost at $7.9 billion, additionally the economy may contract by up to 5.5 percent in 2023.","[ 0.00842575  0.00097563 -0.00193806 ... -0.01201793 -0.00830029
 -0.00352284]",0.141019396412573
198,"Schmitt, R.; Herman, M.; Barnhart, W.; Furlong, K.; Benz, H. (22 February 2023). ""The 2023 Kahramanmaraş, Turkey, Earthquake Sequence"". United States Geological Survey.","[-0.01560537 -0.02220298 -0.01186223 ...  0.0064798   0.00610616
 -0.00032672]",0.1419547545518416
185,UN (16 February 2023). Türkiye: 2023 Earthquakes Situation Report No.1 (PDF) (Report). OHCA.,"[-0.01599943 -0.03949694 -0.00899638 ...  0.01889042  0.02809141
 -0.01890362]",0.14234210991565632
11,"The first and largest earthquake in the sequence struck at 01:17 UTC. The United States Geological Survey (USGS) and Global Centroid Moment Tensor (GCMT) measured it at Mww 7.8 and Mw 7.8, respectively. GEOSCOPE reported Mw 8.0 and Kandilli Observatory (KOERI) reported Mw 7.7 and ML 7.4. It had an epicenter at 37.166°N 37.032°E﻿ / 37.166; 37.032, 34 km (21 mi) west of Gaziantep in Gaziantep Province, which is near the border with Syria. The earthquake hypocenter was at a depth of 10.0 km (6 mi) according to USGS and 5 km (3 mi) according to KOERI. The shock had a focal mechanism corresponding to strike-slip faulting.","[ 0.00169524 -0.00450506  0.0001266  ...  0.00865639 -0.00390438
 -0.02752424]",0.1427735664307893
183,"Jolivet, Romain; Jolivet, Laurent (10 February 2023). ""Why have so many earthquakes hit Turkey and Syria?"". The Conversation. Retrieved 17 February 2023.","[-0.00930673 -0.02896613  0.00940666 ...  0.02356995  0.00732148
 -0.02682098]",0.1428727076347025
188,"Taftsoglou, Maria; Valkaniotis, Sotiris; Karantanellis, Efstratios; Goula, Evmorfia; Papathanassiou, George (23 February 2023). Preliminary mapping of liquefaction phenomena triggered by the February 6 2023 M7.7 earthquake, Türkiye / Syria, based on remote sensing data (Report). doi:10.5281/zenodo.7668401.","[-0.02057588 -0.01949512 -0.01082831 ... -0.00125915  0.0053622
 -0.01813725]",0.14429980349937066
55,"An estimated 5.37 million people across Syria may have been made homeless, while 10.9 million people, nearly half of Syria's population, were affected. More than 123 residential areas, villages, towns and cities were badly damaged. Many power plants, water facilities, hospitals and public infrastructure also sustained damage. At least 453 schools were damaged. Across the country, 22,452 housing units were destroyed and 62,878 others were damaged.","[-0.00157453 -0.00987205 -0.01062446 ... -0.00014087 -0.01548913
 -0.00754998]",0.14624282158037027
41,"In Nurdağı, nearly 2,500 people died and about 50 percent of the houses were badly damaged or destroyed. An additional 30 percent of its building stock received moderate damage. Mass graves were created to bury the overwhelming number of dead. Gaziantep Oğuzeli Airport was forced to restrict its service to rescue flights. Ninety percent of houses were heavily damaged or destroyed in Sakçagözü, and 256 people died. In İslahiye, there were 1,368 deaths, over 1,500 injuries and more than 200 destroyed apartments. There were over 130 deaths in Sulumağara; 200 in Altınüzüm; and 300–400 in Keküklü.","[-0.0002616  -0.00369993  0.00345203 ... -0.0038146  -0.01371368
 -0.0121622 ]",0.14643972098585123
99,"Over 53,000 Turkish emergency workers were deployed to the regions affected from the earthquakes. A team of 90 miners from Soma arrived at Osmaniye to provide assistance. The İzmir Metropolitan Municipality also sent dozens of vehicles and equipment.","[ 0.00232503 -0.04171295 -0.00444862 ...  0.00081502 -0.01710956
 -0.01199281]",0.14716654533527718
186,"Çetin, Kemal Önder; Ilgaç, Makbule; Can, Gizem; Çakır, Elife, eds. (20 February 2023). Preliminary Reconnaissance Report on February 6, 2023, Pazarcık Mw=7.7 and Elbistan Mw=7.6, Kahramanmaraş-Türkiye Earthquakes (PDF) (Report). Middle East Technical University. Retrieved 1 March 2023.","[-0.00938589 -0.02499698 -0.00365885 ...  0.01408571  0.01392768
 -0.01805719]",0.1480160302363147
51,"In Kilis Province, 119 buildings were destroyed and 138 others were heavily damaged, along with 2,514 houses. In Batman Province, 218 buildings were damaged, and an additional 15 were completely destroyed. In Mardin Province, 59 buildings were heavily damaged and another 190 were slightly damaged and a death related to a heart attack occurred in Kızıltepe District. In Bingöl Province, several houses cracked and some livestock were killed by collapsing barns. In Samsun, damage occurred in Samsun Stadium. In Kayseri Province, eight buildings collapsed, while 5,252 others were damaged to some extent. Several houses were damaged and a barn collapsed in Muş Province. In Sivas Province, the second earthquake destroyed a few houses. In Giresun Province, a five-story building was damaged and evacuated. An unoccupied apartment in Elazığ was damaged and later collapsed during the second earthquake.","[-0.00529279 -0.00707958  0.00884947 ...  0.00537048 -0.02453533
 -0.02148192]",0.14802537049240794
26,"The zone of surface rupture extended from north of Antakya, Hatay Province towards Pazarcık, Kahramanmaraş Province and Gölbaşı, Adıyaman Province. Surface ruptures continued north of these cities. Surface rupture occurred in the Amik Valley. The westernmost part of Hatay Airport was damaged by surface ruptures but cracks in the runway were attributed to ground deformation. A major canal was damaged and lead to flooding in parts of the Amik Valley which was formerly Lake Amik. Field observations indicate a maximum displacement of 7.3 m (24 ft) on the surface. Geologists traced a 15 km (9.3 mi) surface rupture trending south from Pazarcık with an offset of 2.5 m (8 ft 2 in). From Golbasi to Nurdağı ground displacements were up to 5 m (16 ft). The surface rupture observed during the M7.8 earthquake was unusually large, comparable to that during the 1906 San Francisco earthquake along the San Andreas Fault.","[-0.01446559 -0.02721072  0.01749359 ...  0.01570432 -0.02118224
 -0.01147888]",0.14830030172792397
54,"Over 14,500 were also injured in Syria. Among the dead included 2,153 children and 1,524 women. The Syrian Network for Human Rights stated 73 medics, five media personnel, 62 workers in humanitarian agencies, and four civil defense personnel were among the dead. The Syrian Observatory for Human Rights said additional dead were buried before being registered and some victims died in hospitals. Syria's National Earthquake Centre said the earthquake is ""the biggest earthquake recorded"" in its operational history.","[-0.00472967  0.00866014 -0.01226963 ... -0.00449712 -0.0215259
 -0.0083326 ]",0.14886504394930733
191,"Meng, L.; Xu, L.; Mohanna, S.; Ji, C.; Ampuero, J.-P.; Yunjun, Z.; Hasnain, M.; Chu, R. (2023), The 2023 Mw7.8 Kahramanmaraş, Turkey Earthquake: A Multi-segment Rupture in A Millennium Supercycle, doi:10.21203/rs.3.rs-2747911/v1","[ 0.00496841 -0.02379609  0.00418049 ...  0.0001701  -0.00103308
 -0.01505663]",0.14898763867474218
85,"On 25 July, a damaging Mww  5.5 aftershock struck Kozan, Adana Province. The shock left 63 people injured in Adana and Osmaniye provinces. A house in Sumbas was also damaged by rockfalls. Another aftershock struck Malatya Province on 10 August, measuring Mww  5.3. Twenty-three people were injured; 22 in Malatya and one in Adıyaman. One building collapsed and two were damaged in Malatya.","[-0.00726152 -0.00137549  0.00969105 ...  0.00634452 -0.00281358
 -0.02552697]",0.15021964046781644
9,"The Palu and Pütürge segments in the east display a recurrence interval of about 150 years for M 6.8–7.0 earthquakes. The Pazarcık and Amanos segments in the west have recurrence intervals of 237–772 years and 414–917 years, respectively, for M 7.0–7.4 earthquakes. A research paper published by Earth and Planetary Science Letters in 2002 studied stress accumulation and increased seismic hazard along the East Anatolian Fault. The study concluded two sections of the fault with a considerably high potential for future earthquakes. One of these sections was in Elazığ and Bingöl, located between the rupture zones of the 1874 and 1971 earthquakes. The seismic gap ruptured during a Mw  6.1 earthquake in 2010. The 2020 Mw  6.8 earthquake ruptured to the southwest between the 1893/1905 and 1874 earthquakes. Another seismic gap was located in Kahramanmaraş—this 103 km (64 mi) long section—according to the study, believed to last rupture in 1513 has the potential to produce magnitude 7.3 earthquakes.","[ 0.0076471  -0.01934065  0.02014994 ...  0.01593889  0.00838095
 -0.02990256]",0.15122596804728305
141,"President of the European Council Charles Michel and President of the European Commission Ursula von der Leyen expressed their condolences to those who lost their lives due to the earthquakes in Turkey and Syria and wished a speedy recovery to the injured. Michel and Leyen announced that the EU is ready for earthquake aid in Turkey and Syria. The European Union's European Civil Protection Mechanism, in which Turkey participates despite not being a member of the EU, was activated at the request of Turkey. The EU dispatched thirty-one rescue teams and five medical teams from 23 member states to Turkey, committed €3 million and €3.5 million to Turkey and Syria respectively, and announced a donor conference to raise money. The Copernicus Programme was also activated to provide emergency mapping services and other help.","[ 0.01371068 -0.0254094   0.00044095 ...  0.00290636 -0.01282462
 -0.03003292]",0.15126969769888232
189,"Çen, K. Önder; Bray, Jonathan D.; Frost, J. David; Hortacsu, Ayse; Miranda, Eduardo; Moss, Robb Eric S.; Stewart, Jonathan P. (6 May 2023). February 6, 2023 Türkiye Earthquakes: Report on Geoscience and Engineering Impacts (PDF) (Report) (GEER Associaon Report 082 ed.). Earthquake Engineering Research Institute. doi:10.18118/G6PM34.","[-0.01967313 -0.02989887 -0.01613036 ... -0.00574023  0.01251378
 -0.02121639]",0.15169738691845902
13,"At 10:24 UTC, an earthquake measuring Mww 7.5 according to USGS, Mw 7.6 according to KOERI, or Mw 7.7 according to Geoscope and the GCMT, struck with an epicenter near Ekinözü, 95 km northeast of the M7.8 event. It had a depth of 7.4 km (5 mi) according to the USGS, 5 km (3 mi) by KOERI, and 13 km (8 mi) by Geoscope. The shock was also the result of strike-slip faulting; it had an epicenter north of the previous large earthquake.","[-0.00135809 -0.01377737 -0.01157141 ...  0.00349058  0.00059938
 -0.04507037]",0.15210145068716896
84,"A Mww 5.2 aftershock occurred on 27 February, near Yeşilyurt. It collapsed about 30 buildings in the town. Two people died and 140 others were injured; 12 in serious condition. One fatality and four injuries were attributed to a factory collapse in Kahramanmaraş Province.","[-0.02401319 -0.00918541 -0.01098673 ...  0.01875492 -0.00469204
 -0.02454299]",0.15274478544441472
12,"It is one of the strongest ever recorded in Turkey, equivalent in magnitude to the 1939 Erzincan earthquake (Mw 7.8). These earthquakes are surpassed only by the larger estimates for the 1668 North Anatolia earthquake. Globally it was the strongest recorded since August 2021. Both earthquakes are the largest and only observed to occur on land and within a short span of time.","[-0.00025995 -0.02625732 -0.01197657 ... -0.00173465  0.00934042
 -0.02921241]",0.1530896137013299
89,The United Nations Development Programme estimated between 116 million and 210 million tons of debris must be cleared in Turkey. The volume of building debris was estimated at 100 million m3 (3.5 billion cu ft); greater than any recent natural disaster. The amount is 10 times that produced during the 2010 Haiti earthquake.,"[ 0.0126126  -0.01480112 -0.00638711 ...  0.00709754 -0.00507063
 -0.03501631]",0.15310714889686783
86,"The USGS Prompt Assessment of Global Earthquakes for Response (PAGER) service estimated a 35 percent probability of economic losses between US$10 billion and US$100 billion. There was a 34 percent probability of economic losses exceeding US$100 billion. The service estimated a 36 percent probability of deaths between 10,000 and 100,000; 26 percent probability of deaths exceeding 100,000. For the second large earthquake, there was a 46 percent probability of deaths between 1,000 and 10,000; 30 percent probability of deaths between 100 and 1,000. The service also estimated a 35 percent probability of economic losses between US$1 billion and US$10 billion; 27 percent probability of economic losses between US$10 billion and US$100 billion.","[-0.00806854 -0.01045501  0.02103034 ... -0.01905164 -0.02195284
 -0.01799545]",0.15365851793578478
23,"The second M>7 earthquake initiated on a separate fault known as the Çardak–Sürgü Fault Zone, part of the northern strand of the East Anatolian Fault. The rupture propagated bilaterally along the Çardak segment, continuing eastwards onto the Sürgü segment before continuing eastwards to Malatya along the northeast–southwest trending Doğanşehir Fault Zone. Rupture also propagated towards the southwest along the Çardak segment. The total rupture length was estimated at 160 km (99 mi). The westward-propagating rupture occurred at supershear velocity (maximum 4.8 km (3.0 mi) per second) while the eastward-propagating rupture occurred at subshear velocity (maximum 2.8 km (1.7 mi) per second). The rupture lasted about 35 seconds.","[-0.01160153 -0.00786591 -0.0073896  ...  0.01004332 -0.01409875
 -0.02337997]",0.15419064306504648
150,"The leader of the opposition in Parliament, Kemal Kılıçdaroğlu of the Republican People's Party (CHP), pinned responsibility for the scale of the disaster on President Erdoğan. He demanded from the CHP mayors not to back down from providing bread and blankets to people in need and reject bureaucratic blocking as they did during the COVID-19 lockdown. It has also been reported that some donations from relief organizations arriving at the Adana airport were relabeled as assistance by the Disaster and Emergency Management Presidency (AFAD) or also the governing AKP. Questions also arose as to how an ""earthquake tax"" (officially ""special communications tax"") levied by the Turkish government in the wake of the 1999 earthquake, estimated to have reached 88bn lira ($4.6bn; £3.8bn) and meant to have been spent on disaster prevention and the development of emergency services, were spent, given how the government has never given a public explanation.","[-0.00546457 -0.02306567 -0.00288321 ...  0.00809103 -0.0188328
 -0.03036563]",0.15655766508222813
17,"A source model for the Mww 7.8 earthquake produced by the USGS from observed seismic waves, taking into account preliminary rupture mapping from satellite data, uses three fault segments with individual lengths, widths, strikes and dips of >40 km (25 mi) × 30 km (19 mi), 028°/85° (Segment 1), >175 km (109 mi) × 30 km (19 mi), 060°/85° (Segment 2) and >160 km (99 mi) × 20 km (12 mi), 025°/75° (Segment 3). The mainshock produced a maximum slip of 11.2 m (37 ft) along Segment 2, beneath Sakarya in Kahramanmaraş Province, northeast of the junction where it meets Segment 1. Another zone of large slip estimated at 4.96 m (16.3 ft) occurred further northeast along Segment 2, northwest of Adıyaman.","[ 0.00068606  0.00309408  0.00134411 ...  0.00955734 -0.01096343
 -0.02438583]",0.15656401064113934
19,"Three segments of the EAF were involved in the Mw  7.8 rupture; the Amanos, Pazarcık and Erkenek segments. The earthquake ruptured ~370 km (230 mi) of the EAF, producing a maximum slip of up to ~12 m (39 ft) along the Pazarcık segment. The northern end of the rupture was about 20–30 km (12–19 mi) south of the Mw  6.8 earthquake that struck in 2020. This section of the EAF, the Pütürge segment, between both earthquakes, may represent a seismic gap. The southern segment of the EAF rupture was at its termination, near Antakya. Slip peaked at 12 m (39 ft) from the surface to 7 km (4.3 mi) depth during the Mw  7.7 earthquake; slip was 11 m (36 ft) at the surface. Slip along the fault was compact—mostly confined to within the Çardak Fault; it was also shallower—attenuating from 8–12 km (5.0–7.5 mi). Slip during the Mw  7.8 event extended to 18 km (11 mi) and 12 km (7.5 mi) for the Mw  7.7 event. The Mw  6.4 aftershock that struck Antakya on 20 February had a rupture area of 25 km (16 mi) × 25 km (16 mi) and produced a peak slip of 0.93 m (3 ft 1 in) at 8.3 km (5.2 mi) depth.","[ 0.00158546 -0.01736017 -0.00371469 ...  0.01540256 -0.00964529
 -0.03866274]",0.15669822337808714
79,"At least 100 Afghans were killed by the earthquake in Turkey, mostly refugees who fled the country after the Taliban takeover in August 2021. Among the deaths of Lebanese was an entire family of three in Malatya. Ten Azerbaijanis were killed in Turkey, including four students in Malatya. An Italian family of six, and an entrepreneur also perished. Nineteen students, two teachers and a parent from Northern Cyprus died when the Isias Hotel in Adiyaman collapsed. Seven other Turkish Cypriots died in Hatay and Kahramanmaraş.","[-0.00665914 -0.01311329 -0.00664592 ...  0.00690382  0.00078652
 -0.03814294]",0.15689976620277601
176,"On the first anniversary of the earthquake on 6 February 2024, the Turkish government organized a series of programs to mark the disaster, with schools closed in the affected regions. In Antakya, a moment of silence was held at 04:17, when the earthquake struck, and carnations were scattered into the Orontes River. A silent march was held in Adiyaman while President Erdoğan is expected to visit Kahramanmaraş. Protests were also held in Antakya criticizing health minister Fahrettin Koca and mayor Lütfü Savaş, with demonstrators chanting ""Can anyone hear me?"", a reminder of cries for rescue following the earthquake and ""We won't forget, we won't forgive."" In Malatya Province, the governor banned events that were not officially sanctioned until 9 February.","[-0.02161288 -0.02200413 -0.02609196 ...  0.01803772 -0.0004684
 -0.02534994]",0.15700239626622237
48,"In Diyarbakir Province, 8,602 houses were severely damaged or destroyed, and 124,432 others were partially damaged. Additionally, 8,086 buildings were damaged, required demolition or collapsed. Diyarbakır Fortress, a UNESCO World Heritage Site, was also partly destroyed. The adjacent World Heritage Site of Hevsel Gardens was also damaged. Part of the Galeria complex in Yenişehir, which included a shopping mall and dozens of apartments collapsed, killing 89 and injuring 22.","[-0.01539041 -0.00430359  0.00696296 ... -0.00782168 -0.00986531
 -0.02163445]",0.15705669905272535
147,"After the earthquake, Erdoğan had claimed ""98 percent of the destroyed buildings were built in before 1999"" and described it ""as the indicator of an improvement in the quality of building codes and enforcement"". Erdoğan's claim was criticized by civil engineer and earthquake engineering academic Haluk Sucuoğlu, stating that field observations and more than half of the buildings in earthquake-affected areas being built after 2000 making Erdoğan's claims unlikely, though accepting that concrete data on the destroyed buildings do not exist yet. The comparison of historical satellite images with those taken after the earthquake, especially of those showing the destruction in the newly built area of western Kahramanmaraş, were used to dispute Erdoğan's claim.","[-0.00267386 -0.02055228 -0.01174701 ...  0.00034796 -0.00293842
 -0.02451897]",0.157275433907201
97,"Emergency services in Turkey were activated and looked for survivors trapped under many collapsed buildings. By 8 February, more than 8,000 people were rescued from rubble across 10 provinces. About 380,000 individuals took refuge at relief shelters or hotels.","[-0.01131613 -0.02451502 -0.0115384  ...  0.00060511 -0.00127478
 -0.02464576]",0.15752756037445415
95,"President Recep Tayyip Erdoğan said on Twitter, ""search and rescue teams were immediately dispatched"" to the affected area. Interior Minister Süleyman Soylu urged residents to refrain from entering damaged buildings. On 7 February, President Erdoğan declared a 3-month state of emergency in the 10 affected provinces: Adana, Hatay, Osmaniye, Kahramanmaraş, Gaziantep, Kilis, Şanlıurfa, Adıyaman, Malatya and Diyarbakır.","[-0.00979688 -0.02506889 -0.01511292 ...  0.00305573  0.00422234
 -0.021463  ]",0.15755727139513753
27,"Large surface offsets of 6–8 m (20–26 ft) were observed along the Sürgü-Çardak Fault. Along a road west of Gözpınar, the rupture displaced the road left-laterally for 8.6 m (28 ft). The largest maximum surface offset was 10.0–12.6 m (32.8–41.3 ft); one of the largest surface offset ever observed from an earthquake.","[-0.00480735  0.00439199  0.01533451 ...  0.00542019 -0.00634966
 -0.05057937]",0.15852509516319668
